iter	Logloss
0	0.6731422036
1	0.6515851121
2	0.6320858963
3	0.6155117345
4	0.5987985617
5	0.5810673479
6	0.5660151472
7	0.5458572044
8	0.5291943745
9	0.5137017499
10	0.5009278619
11	0.4865538484
12	0.4704460616
13	0.4594577023
14	0.4460322687
15	0.4316554778
16	0.4191890004
17	0.4069964932
18	0.3952912014
19	0.3834169881
20	0.3703868653
21	0.3594188607
22	0.3486539142
23	0.3398358212
24	0.3296907134
25	0.3192726546
26	0.3096113256
27	0.3004922263
28	0.2924594758
29	0.2853720554
30	0.2778370629
31	0.2686392315
32	0.2616335938
33	0.2553099373
34	0.2480815294
35	0.2411711354
36	0.2358804442
37	0.2293241778
38	0.223011268
39	0.2167743317
40	0.2117089175
41	0.2051370361
42	0.2001469344
43	0.1948890512
44	0.1905458796
45	0.1858393058
46	0.1809981968
47	0.1773144925
48	0.1732392113
49	0.1697691311
50	0.1658298311
51	0.1624375197
52	0.1582559385
53	0.154882957
54	0.1502454886
55	0.1457861866
56	0.1427712253
57	0.1398009383
58	0.1361589372
59	0.1334657542
60	0.1301808876
61	0.1272355322
62	0.1244875924
63	0.1216787627
64	0.119198362
65	0.1162867754
66	0.1129159383
67	0.1105908906
68	0.1082434964
69	0.1051417481
70	0.1026462391
71	0.1006797856
72	0.09773162555
73	0.09576037351
74	0.09395792055
75	0.0921802746
76	0.09009927564
77	0.0882925813
78	0.08678522169
79	0.08492262648
80	0.0831238093
81	0.08083958252
82	0.07900747726
83	0.07702259541
84	0.075384582
85	0.07409581994
86	0.07233868691
87	0.07021794217
88	0.06898843201
89	0.06772347058
90	0.06668930343
91	0.06515962087
92	0.06364786391
93	0.06256298713
94	0.06141447511
95	0.06042082509
96	0.05880730675
97	0.05731488209
98	0.05609950322
99	0.05503735695
100	0.05419857192
101	0.05287331566
102	0.05186221986
103	0.05040657712
104	0.04972413177
105	0.04881736981
106	0.04799693154
107	0.04711048021
108	0.04623813383
109	0.04551202473
110	0.04462418157
111	0.04396075488
112	0.04331650836
113	0.04268016407
114	0.04184667099
115	0.04110772342
116	0.04029885035
117	0.03937582706
118	0.03890475487
119	0.03819455395
120	0.03757256323
121	0.0369618891
122	0.03647448247
123	0.03597780387
124	0.03540405233
125	0.03507199602
126	0.03445840477
127	0.0340933923
128	0.03366762602
129	0.03293870817
130	0.03254348879
131	0.03202459986
132	0.03157355994
133	0.03115129046
134	0.03067238063
135	0.03026680003
136	0.02994479343
137	0.02947509183
138	0.02899387814
139	0.02862656095
140	0.02827133384
141	0.02776314231
142	0.02735703812
143	0.02704573868
144	0.02678831843
145	0.02651061816
146	0.02618923842
147	0.02590723471
148	0.02553317679
149	0.02525917732
150	0.02484618279
151	0.02455422033
152	0.02419303403
153	0.02385183622
154	0.02368597551
155	0.02323548382
156	0.02284309868
157	0.02253280349
158	0.02228127954
159	0.02202508666
160	0.02179755799
161	0.02153150921
162	0.02123845835
163	0.02103710557
164	0.0207010021
165	0.0204892762
166	0.02027220692
167	0.0199943222
168	0.01976724487
169	0.01950480509
170	0.01926855055
171	0.01900163181
172	0.01883474603
173	0.01865584115
174	0.01847443649
175	0.01822615435
176	0.01792412518
177	0.01770578349
178	0.01755894059
179	0.0174099668
180	0.01722072578
181	0.01708144173
